股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
6414        樺漢        140.0000    146.5000    138.0000    148.5000    163.0000    134.0000    146.5000    37          765         
6579        研揚        58.8000     60.7000     58.8000     59.3000     65.2000     53.4000     59.5000     1           60          
6591        動力-KY     32.5000     32.6000     31.5500     33.0000     36.3000     29.7000     32.2500     10          338         
6669        緯穎        662.0000    684.0000    661.0000    677.0000    744.0000    610.0000    674.0000    87          1199        
8114        振樺電      69.9000     74.5000     69.6000     71.8000     78.9000     64.7000     74.5000     10          236         
8163        達方        29.3000     29.7000     28.7000     29.5500     32.5000     26.6000     29.6500     14          902         
8210        勤誠        72.4000     74.8000     71.2000     74.4000     81.8000     67.0000     74.4000     17          744         
9912        偉聯        5.7300      5.8300      5.6300      5.7700      6.3400      5.2000      -           -           20          
2323        中環        6.4400      6.6600      6.3800      6.5300      7.1800      5.8800      6.6300      211         9910        
2340        光磊        17.2000     17.7500     17.0000     17.7000     19.4500     15.9500     17.7000     85          1067        
2349        錸德        3.9700      4.3000      3.9700      4.1500      4.5600      3.7400      4.2300      54          5426        
2374        佳能        9.9200      10.4500     9.9200      10.4000     11.4000     9.3600      10.2000     3           111         
2393        億光        23.6000     24.5500     23.4000     24.2000     26.6000     21.8000     24.5500     100         2216        
2406        國碩        8.3900      8.8500      8.1600      8.6800      9.5400      7.8200      8.8500      60          979         
2409        友達        6.4000      6.4800      6.2000      6.7700      7.4400      6.1000      6.4800      5343        79376       
2426        鼎元        9.0000      9.4500      8.9500      9.3500      10.2500     8.4200      9.4500      35          414         
2438        翔耀        5.6000      5.6000      5.6000      5.6000      6.1600      5.0400      -           -           2           
2448        晶電        25.3000     26.2000     25.2000     26.3000     28.9000     23.7000     26.2000     431         8611        
2466        冠西電      32.1000     32.1500     31.7500     32.1000     35.3000     28.9000     32.1500     2           57          
2486        一詮        5.7200      5.8100      5.5200      5.9700      6.5600      5.3800      5.7700      9           683         
2489        瑞軒        6.6800      6.6800      6.4500      6.7000      7.3700      6.0300      6.5600      26          930         
2491        吉祥全      7.0200      7.2300      7.0100      7.3000      8.0300      6.5700      7.0100      15          21          
2499        東貝        5.3900      5.6800      5.3900      5.8500      6.4300      5.2700      5.6300      24          1346        
3008        大立光      3775.0000   3810.0000   3710.0000   3870.0000   4255.0000   3485.0000   3785.0000   109         799         
3019        亞光        59.6000     62.0000     58.6000     61.0000     67.1000     54.9000     61.9000     127         2146        
3024        憶聲        6.3600      6.3600      6.2200      6.3600      6.9900      5.7300      6.3000      1           112         
3031        佰鴻        12.4500     12.7000     11.8500     12.5500     13.8000     11.3000     12.7000     65          550         
3038        全台        15.2500     15.8500     15.0500     15.5000     17.0500     13.9500     15.8500     159         3756        
3049        和鑫        9.0300      9.1800      8.8800      9.2100      10.1000     8.2900      9.1600      123         5308        
3050        鈺德        8.7600      9.1400      8.7600      8.9100      9.8000      8.0200      9.0500      3           205         
3051        力特        2.4900      2.7700      2.4900      2.7300      3.0000      2.4600      2.6000      10          45          
3059        華晶科      17.1000     17.1500     16.7000     17.3500     19.0500     15.6500     17.1500     15          305         
3149        正達        4.9800      5.1200      4.9000      5.0200      5.5200      4.5200      5.1200      4           333         
3356        奇偶        18.4500     18.6500     18.0000     18.5500     20.4000     16.7000     18.4500     17          198         
3383        新世紀      4.0500      4.2100      3.9700      4.2000      4.6200      3.7800      4.2100      1           88          
3406        玉晶光      390.0000    407.0000    388.5000    410.0000    451.0000    369.0000    403.5000    659         12381       
3437        榮創        11.0500     11.3000     10.9500     11.3000     12.4000     10.2000     11.3000     3           394         
3454        晶睿        59.2000     61.4000     59.2000     61.7000     67.8000     55.6000     61.0000     3           69          
3481        群創        5.3000      5.3000      5.1300      5.4400      5.9800      4.9000      5.2500      4983        96300       
3504        揚明光      43.0000     43.2000     41.2000     43.6000     47.9500     39.2500     43.2000     14          172         
3535        晶彩科      11.8500     12.8000     11.8000     12.1000     13.3000     10.9000     12.3000     79          877         
3557        嘉威        45.7500     45.7500     45.7500     41.6000     45.7500     37.4500     -           -           270         
3563        牧德        247.0000    253.5000    244.5000    261.0000    287.0000    235.0000    251.0000    81          1935        
3576        聯合再生    4.8200      4.8700      4.7600      5.0400      5.5400      4.5400      4.8500      361         7050        
3591        艾笛森      8.7000      8.7900      8.6500      8.6800      9.5400      7.8200      8.7500      5           87          
3622        洋華        17.1000     17.5000     17.0000     17.4000     19.1000     15.7000     17.3500     2           157         
3669        圓展        22.2500     25.0000     22.2500     22.7500     25.0000     20.5000     25.0000     92          3067        
3673        TPK-KY      34.0000     35.0000     33.7000     34.8000     38.2500     31.3500     35.0000     110         2025        
3698        隆達        11.1500     11.6500     11.0000     11.4500     12.5500     10.3500     11.6000     102         895         
4934        太極        10.9500     11.3500     10.6000     11.6500     12.8000     10.5000     11.3000     43          2218        
4935        茂林-KY     103.0000    111.0000    102.0000    105.5000    116.0000    95.0000     111.0000    417         8172        
4942        嘉彰        27.6000     28.1000     27.3000     28.1000     30.9000     25.3000     28.1000     13          400         
4956        光鋐        8.4000      8.6100      8.3000      8.4500      9.2900      7.6100      8.6000      10          156         
4960        誠美材      4.5400      4.6200      4.4200      4.2000      4.6200      3.7800      -           -           1008        
4976        佳凌        15.2500     15.5000     15.1000     15.8000     17.3500     14.2500     15.3000     13          316         
5234        達興材料    68.4000     69.9000     67.0000     69.4000     76.3000     62.5000     69.6000     3           149         
5243        乙盛-KY     25.2000     26.1000     25.2000     25.9000     28.4500     23.3500     25.9000     2           301         
5484        慧友        7.8400      7.8400      7.0300      7.4100      8.1500      6.6700      7.1600      1           24          
6116        彩晶        5.2000      5.2600      5.1100      5.3100      5.8400      4.7800      5.2300      351         9378        
6120        達運        9.0000      9.3500      8.8000      9.2500      10.1500     8.3300      9.1700      28          1003        
6131        鈞泰        3.0500      3.0500      3.0000      3.0500      3.3500      2.7500      3.0000      39          147         
6164        華興        4.7800      4.8500      4.6000      4.8500      5.3300      4.3700      4.8500      114         161         
6168        宏齊        9.9000      10.0500     9.8100      10.0500     11.0500     9.0500      10.0000     5           216         
6176        瑞儀        78.0000     80.5000     77.2000     80.2000     88.2000     72.2000     79.8000     226         3713        
6209        今國光      17.3000     17.5500     16.7000     17.6000     19.3500     15.8500     17.4000     17          384         
6225        天瀚        1.5400      1.6000      1.5400      1.6700      1.8300      1.5100      -           -           6           
6226        光鼎        6.5300      6.5300      6.4000      6.4300      7.0700      5.7900      6.4700      76          888         
6278        台表科      66.0000     69.5000     65.4000     69.2000     76.1000     62.3000     69.5000     307         7049        
6289        華上        1.4200      1.5000      1.4200      1.5400      1.6900      1.3900      1.5000      1           23          
6405        悅城        10.4500     10.9000     10.4500     10.5000     11.5500     9.4500      10.8000     1           43          
6431        光麗-KY     18.0000     18.6000     18.0000     18.8000     20.6500     16.9500     -           -           7           
6443        元晶        4.7700      5.0300      4.7700      5.1500      5.6600      4.6400      4.9900      28          989         
6456        GIS-KY      76.3000     79.0000     75.6000     78.3000     86.1000     70.5000     78.5000     57          1633        
6477        安集        17.4000     17.6000     17.3000     17.6000     19.3500     15.8500     17.6000     12          105         
6668        中揚光      47.2500     49.2500     46.3500     49.3000     54.2000     44.4000     49.0000     19          511         
6706        惠特        64.2000     67.4000     63.2000     66.4000     73.0000     59.8000     66.5000     9           576         
8104        錸寶        28.1000     29.3500     28.0000     28.7000     31.5500     25.8500     29.2000     5           67          
8105        凌巨        7.8000      7.9700      7.7300      8.0600      8.8600      7.2600      7.9200      34          925         
8215        明基材      13.6000     13.7500     13.2000     13.7500     15.1000     12.4000     13.7000     39          1367        
2314        台揚        14.5500     15.3500     14.3000     15.1500     16.6500     13.6500     15.2000     16          781         
2321        東訊        1.0800      1.1600      1.0800      1.1600      1.2700      1.0500      1.1000      4           22          
2332        友訊        10.3000     11.0000     10.1500     10.3000     11.3000     9.2700      10.9500     222         5568        
