股票代號     公司簡稱     開盤         最高         最低         昨收         漲停價       跌停價       當盤成交價   當盤成交量   累積成交量  
2380         虹光         3.1000       3.1400       2.8800       3.2000       3.5200       2.8800       2.8800       65           147         
2382         廣達         52.0000      54.9000      52.0000      54.8000      60.2000      49.3500      52.6000      914          7659        
2387         精元         21.3000      21.8000      20.9000      23.2000      25.5000      20.9000      20.9000      3            3162        
2395         研華         227.5000     244.5000     227.0000     240.5000     264.5000     216.5000     234.0000     156          1344        
2397         友通         57.3000      58.4000      56.6000      58.5000      64.3000      52.7000      58.0000      2            42          
2399         映泰         6.5300       6.7900       6.5300       7.1800       7.8900       6.4700       6.7300       51           573         
2405         浩鑫         6.1200       6.5200       6.1100       6.7200       7.3900       6.0500       6.4000       8            691         
2417         圓剛         8.1800       8.4500       8.1000       8.6900       9.5500       7.8300       8.3600       43           1319        
2424         隴華         -            -            -            21.0000      23.1000      18.9000      -            -            0           
2425         承啟         25.5000      26.1500      24.9000      25.6000      28.1500      23.0500      25.0500      12           419         
2442         新美齊       5.3000       5.7900       5.3000       5.7700       6.3400       5.2000       5.6700       17           817         
2465         麗臺         5.5000       5.8000       5.5000       5.8600       6.4400       5.2800       5.7500       1            74          
3002         歐格         8.8400       8.8500       8.5500       8.9000       9.7900       8.0100       8.7500       5            37          
3005         神基         43.5000      43.5000      41.4000      43.0000      47.3000      38.7000      41.6000      46           1807        
3013         晟銘電       10.4000      10.8000      9.9700       10.6000      11.6500      9.5400       10.7500      5            756         
3017         奇鋐         27.4000      28.9500      27.1000      28.4000      31.2000      25.6000      28.5500      267          9064        
3022         威強電       28.0000      29.4000      27.6000      30.2500      33.2500      27.2500      28.9500      8            364         
3046         建碁         5.9600       5.9600       5.9600       6.6200       7.2800       5.9600       -            -            10          
3057         喬鼎         4.0500       4.0500       3.6800       4.0500       4.4500       3.6500       3.8000       2            175         
3060         銘異         10.3000      10.4000      10.0500      10.8500      11.9000      9.7700       10.2500      60           1111        
3231         緯創         19.2000      19.7500      18.8000      20.4000      22.4000      18.4000      19.2000      1970         11746       
3416         融程電       50.0000      50.0000      48.1500      50.1000      55.1000      45.1000      -            -            78          
3494         誠研         3.0000       3.1000       2.9100       3.1900       3.5000       2.8800       2.9500       6            126         
3515         華擎         86.8000      90.0000      84.4000      88.9000      97.7000      80.1000      89.2000      94           2730        
3701         大眾控       -            -            -            11.6000      12.7500      10.4500      -            -            0           
3706         神達         23.2500      24.5500      23.2500      25.1000      27.6000      22.6000      24.1000      139          6573        
3712         永崴投控     9.6800       9.9200       9.5000       9.9900       10.9500      9.0000       9.8500       5            309         
4916         事欣科       21.0000      21.2500      20.7000      21.7000      23.8500      19.5500      20.9000      6            249         
4938         和碩         49.4500      50.4000      48.2000      51.8000      56.9000      46.6500      48.2000      985          7322        
5215         科嘉-KY      47.4000      50.9000      46.8000      49.9000      54.8000      44.9500      49.9000      12           966         
5258         虹堡         14.9000      16.0000      14.9000      16.2000      17.8000      14.6000      15.5500      7            262         
5264         鎧勝-KY      36.5000      37.0000      35.2500      37.0000      40.7000      33.3000      35.3000      86           1895        
6117         迎廣         10.9000      10.9000      10.1500      11.0000      12.1000      9.9000       -            -            15          
6128         上福         24.0000      24.9500      24.0000      25.1500      27.6500      22.6500      24.9500      13           181         
6166         凌華         58.4000      58.4000      54.1000      59.9000      65.8000      54.0000      57.3000      20           518         
6172         互億         20.2000      20.2000      19.6500      20.4000      22.4000      18.4000      19.7500      7            83          
6206         飛捷         57.0000      58.4000      56.4000      59.0000      64.9000      53.1000      58.0000      3            265         
6230         超眾         209.0000     219.0000     203.5000     213.5000     234.5000     192.5000     219.0000     220          2481        
6235         華孚         6.8000       7.2400       6.7100       7.4500       8.1900       6.7100       6.9300       10           290         
6277         宏正         73.5000      75.5000      72.5000      75.5000      83.0000      68.0000      74.3000      2            134         
6414         樺漢         125.5000     125.5000     119.5000     132.5000     145.5000     119.5000     119.5000     31           1351        
6579         研揚         55.6000      56.2000      54.9000      56.2000      61.8000      50.6000      55.6000      1            44          
6591         動力-KY      29.5000      30.2000      29.0000      30.7000      33.7500      27.6500      29.4500      20           223         
6669         緯穎         585.0000     642.0000     565.0000     611.0000     672.0000     550.0000     639.0000     183          2964        
8114         振樺電       68.4000      68.4000      64.0000      69.6000      76.5000      62.7000      64.0000      10           313         
8163         達方         27.0000      28.2000      27.0000      28.4000      31.2000      25.6000      27.6500      84           1110        
8210         勤誠         66.2000      68.9000      65.1000      70.6000      77.6000      63.6000      66.5000      27           1101        
9912         偉聯         5.7800       5.7800       5.4200       5.7800       6.3500       5.2100       -            -            22          
2323         中環         5.9800       6.2400       5.9000       6.2400       6.8600       5.6200       6.0400       446          9123        
2340         光磊         15.2500      16.0500      14.8500      15.4500      16.9500      13.9500      15.8000      107          2264        
2349         錸德         3.7800       4.1500       3.5800       3.7800       4.1500       3.4100       3.9800       117          7078        
2374         佳能         9.7400       9.7700       9.3000       9.8500       10.8000      8.8700       9.4300       1            257         
2393         億光         22.0000      22.1500      20.6500      22.9000      25.1500      20.6500      20.7000      110          4741        
2406         國碩         7.8000       7.8000       7.5100       8.1600       8.9700       7.3500       7.5500       54           952         
2409         友達         6.2100       6.2600       6.1000       6.6700       7.3300       6.0100       6.1000       5538         83869       
2426         鼎元         8.4000       8.5000       8.2600       8.7900       9.6600       7.9200       8.3000       13           469         
2438         翔耀         5.2000       5.5000       5.2000       5.3000       5.8300       4.7700       -            -            2           
2448         晶電         24.6000      25.3500      24.0000      26.1000      28.7000      23.5000      24.0500      407          11294       
2466         冠西電       31.4000      31.4000      31.1000      31.4000      34.5000      28.3000      31.3500      1            48          
2486         一詮         5.0000       5.2100       5.0000       5.3900       5.9200       4.8600       5.2100       12           243         
2489         瑞軒         6.1000       6.1800       6.0500       6.4400       7.0800       5.8000       6.1400       55           1255        
2491         吉祥全       6.4000       7.0000       6.2000       6.8300       7.5100       6.1500       6.8300       1            40          
2499         東貝         5.6600       5.6600       5.4000       5.8400       6.4200       5.2600       5.4000       100          1998        
3008         大立光       3400.0000    3630.0000    3350.0000    3575.0000    3930.0000    3220.0000    3450.0000    85           1031        
3019         亞光         53.8000      56.8000      53.2000      57.5000      63.2000      51.8000      54.1000      169          3365        
3024         憶聲         5.5700       5.9700       5.5700       6.1600       6.7700       5.5500       5.9600       20           344         
3031         佰鴻         10.5000      11.0500      10.4000      10.0500      11.0500      9.0500       -            -            874         
3038         全台         12.3500      13.2500      12.2500      12.8000      14.0500      11.5500      13.1000      28           1731        
3049         和鑫         8.6100       9.0600       8.4600       8.9100       9.8000       8.0200       8.8600       105          5244        
3050         鈺德         7.6200       7.9400       7.6000       7.9700       8.7600       7.1800       7.8500       6            329         
3051         力特         2.7100       2.9700       2.6600       2.9500       3.2400       2.6600       -            -            72          
3059         華晶科       16.7500      17.0500      16.5000      17.3000      19.0000      15.6000      16.5000      24           766         
3149         正達         4.5100       4.7000       4.4700       4.9000       5.3900       4.4100       4.6500       13           582         
3356         奇偶         15.3000      15.7500      15.0500      16.6500      18.3000      15.0000      15.4000      5            358         
3383         新世紀       3.9000       4.1100       3.8200       4.1500       4.5600       3.7400       -            -            21          
3406         玉晶光       310.5000     352.5000     302.5000     327.0000     359.5000     294.5000     337.5000     606          14715       
3437         榮創         10.4500      10.7500      10.1500      10.7500      11.8000      9.6800       10.4000      16           809         
3454         晶睿         58.5000      59.5000      58.0000      61.0000      67.1000      54.9000      59.1000      3            96          
3481         群創         5.0500       5.0900       4.8500       5.3600       5.8900       4.8300       4.8500       13697        171651      
3504         揚明光       38.0000      38.0000      37.0000      40.1000      44.1000      36.1000      37.2000      31           409         
3535         晶彩科       10.0000      10.8000      9.8100       10.4500      11.4500      9.4100       10.4500      25           749         
3557         嘉威         35.0000      35.8000      33.5000      36.8000      40.4500      33.1500      35.8000      10           184         
